PROD_ID;DATE;SALES_COUNT;MEDIAN_PRICE;MEAN_PRICE;C1_PRICE_1;C1_PRICE_2;C2_PRICE_1;C2_PRICE_2;C3_PRICE_1;C3_PRICE_2;C4_PRICE_1;C4_PRICE_2;C5_PRICE_1;C5_PRICE_2;C6_PRICE_1;C6_PRICE_2
P1;2015-02-04;10;1499.0;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-05;12;1499.0;1474.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-06;21;1499.0;1488.29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-07;4;1499.0;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-08;7;1499.0;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-09;5;1499.0;1484.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-10;10;1349.1;1394.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-11;11;1399.0;1423.57;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-12;16;1499.0;1432.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-13;7;1499.0;1474.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-14;10;1424.05;1437.51;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-15;2;1499.0;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-16;7;1499.0;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-17;4;1499.0;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-18;15;1499.0;1469.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-19;14;1499.0;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-20;8;1499.0;1474.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-21;9;1367.09;1414.15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-22;8;1499.0;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-23;13;1499.0;1440.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-24;6;1499.0;1443.64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-25;5;1499.0;1479.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-26;81;1362.5;1325.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-27;14;1362.5;1343.67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-28;8;1367.09;1429.65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-01;14;1499.0;1409.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-02;22;1499.0;1438.65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-03;38;1362.5;1364.79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-04;60;1362.5;1357.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-05;21;1362.5;1381.36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-06;9;1499.0;1487.89;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-07;9;1499.0;1476.78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-08;12;1499.0;1467.83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-09;34;1499.0;1468.71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-10;31;1362.5;1410.94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-11;53;1362.5;1359.93;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-12;54;1362.5;1361.58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-13;58;1362.5;1358.98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-14;41;1362.5;1360.47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-15;48;1362.5;1360.77;NA;NA;NA;NA;NA;NA;NA;NA;1499.0;1499.0;1499.0;1499.0
P1;2015-03-16;24;1362.5;1402.31;NA;NA;1362.5;1362.5;NA;NA;NA;NA;1499.0;1461.53;1499.0;1499.0
P1;2015-03-17;28;1362.5;1355.2;1362.5;1362.5;1362.5;1362.5;1362.5;1362.5;NA;NA;1499.0;1424.05;1499.0;1499.0
P1;2015-03-18;67;1362.5;1358.56;1362.5;1362.5;1362.5;1362.5;1362.5;1362.5;NA;NA;1499.0;1424.05;1499.0;1499.0
P1;2015-03-19;46;1362.5;1355.1;1362.5;1362.5;1362.5;1362.5;1362.5;1362.5;NA;NA;1499.0;1364.09;1359.0;1359.0
P1;2015-03-20;19;1362.5;1384.07;1499.0;1499.0;1499.0;1499.0;1499.0;1499.0;NA;NA;1499.0;1364.09;1359.0;1359.0
P1;2015-03-21;12;1362.5;1424.5;1499.0;1499.0;1499.0;1499.0;1499.0;1499.0;NA;NA;1499.0;1424.05;1359.0;1359.0
P1;2015-03-22;7;1362.5;1421.0;1499.0;1499.0;1499.0;1499.0;1499.0;1499.0;NA;NA;1499.0;1424.05;1359.0;1359.0
P1;2015-03-23;6;1362.5;1418.26;1499.0;1499.0;1403.9;1403.9;1499.0;1499.0;NA;NA;1499.0;1424.05;1359.0;1359.0
P1;2015-03-24;13;1499.0;1467.5;1499.0;1499.0;1403.9;1403.9;1499.0;1499.0;NA;NA;1499.0;1424.05;1499.0;1499.0
P1;2015-03-25;7;1499.0;1499.0;1499.0;1499.0;1471.9;1471.9;1499.0;1499.0;NA;NA;1499.0;1424.05;1499.0;1499.0
P1;2015-03-26;6;1499.0;1499.0;1499.0;1499.0;1471.9;1471.9;1499.0;1499.0;NA;NA;1499.0;1424.05;1499.0;1499.0
P1;2015-03-27;7;1499.0;1499.0;1499.0;1499.0;1471.9;1471.9;1499.0;1499.0;NA;NA;1499.0;1424.05;1499.0;1499.0
P1;2015-03-28;15;1499.0;1489.01;1499.0;1499.0;1471.9;1471.9;1499.0;1499.0;NA;NA;1499.0;1424.05;1499.0;1499.0
P1;2015-03-29;7;1499.0;1499.0;1499.0;1499.0;1471.9;1471.9;1499.0;1499.0;NA;NA;1499.0;1424.05;1499.0;1499.0
P1;2015-03-30;12;1499.0;1492.75;1499.0;1499.0;1471.9;1471.9;1499.0;1499.0;NA;NA;1499.0;1424.05;1499.0;1499.0
P1;2015-03-31;11;1499.0;1483.78;1499.0;1499.0;1471.9;1471.9;1499.0;1499.0;NA;NA;1499.0;1424.05;1499.0;1499.0
P1;2015-04-01;16;1429.0;1421.64;1499.0;1499.0;1471.9;1471.9;1499.0;1499.0;NA;NA;1499.0;1424.05;1499.0;1499.0
P1;2015-04-02;9;1399.0;1454.56;1499.0;1499.0;1471.9;1471.9;1499.0;1499.0;NA;NA;1499.0;1424.05;1499.0;1499.0
