prod_id;comp;date;time;pay_type;price
1;5;2015-03-15;08:11:29;1;1499.0
1;5;2015-03-15;08:11:29;2;1499.0
1;6;2015-03-15;08:11:29;1;1499.0
1;6;2015-03-15;08:11:29;2;1499.0
1;2;2015-03-16;08:11:29;1;1362.5
1;2;2015-03-16;08:11:29;2;1362.5
1;5;2015-03-16;08:11:29;1;1499.0
1;5;2015-03-16;08:11:29;2;1461.53
1;6;2015-03-16;08:11:29;1;1499.0
1;6;2015-03-16;08:11:29;2;1499.0
1;1;2015-03-17;08:11:29;1;1362.5
1;1;2015-03-17;08:11:29;2;1362.5
1;2;2015-03-17;08:11:29;1;1362.5
1;2;2015-03-17;08:11:29;2;1362.5
1;3;2015-03-17;08:11:29;1;1362.5
1;3;2015-03-17;08:11:29;2;1362.5
1;5;2015-03-17;08:11:29;1;1499.0
1;5;2015-03-17;08:11:29;2;1424.05
1;6;2015-03-17;08:11:29;1;1499.0
1;6;2015-03-17;08:11:29;2;1499.0
1;1;2015-03-18;08:11:29;1;1362.5
1;1;2015-03-18;08:11:29;2;1362.5
1;3;2015-03-18;08:11:29;1;1362.5
1;3;2015-03-18;08:11:29;2;1362.5
1;5;2015-03-18;08:11:29;1;1499.0
1;5;2015-03-18;08:11:29;2;1424.05
1;6;2015-03-18;08:11:29;1;1499.0
1;6;2015-03-18;08:11:29;2;1499.0
1;5;2015-03-19;08:11:29;1;1499.0
1;5;2015-03-19;08:11:29;2;1364.09
1;6;2015-03-19;08:11:29;1;1359.0
1;6;2015-03-19;08:11:29;2;1359.0
1;1;2015-03-20;08:11:29;1;1499.0
1;1;2015-03-20;08:11:29;2;1499.0
1;2;2015-03-20;08:11:29;1;1499.0
1;2;2015-03-20;08:11:29;2;1499.0
1;3;2015-03-20;08:11:29;1;1499.0
1;3;2015-03-20;08:11:29;2;1499.0
1;5;2015-03-20;08:11:29;1;1499.0
1;5;2015-03-20;08:11:29;2;1364.09
1;6;2015-03-20;08:11:29;1;1359.0
1;6;2015-03-20;08:11:29;2;1359.0
1;1;2015-03-21;08:11:29;1;1499.0
1;1;2015-03-21;08:11:29;2;1499.0
1;3;2015-03-21;08:11:29;1;1499.0
1;3;2015-03-21;08:11:29;2;1499.0
1;5;2015-03-21;08:11:29;1;1499.0
1;5;2015-03-21;08:11:29;2;1424.05
1;6;2015-03-21;08:11:29;1;1359.0
1;6;2015-03-21;08:11:29;2;1359.0
1;1;2015-03-22;08:11:29;1;1499.0
1;1;2015-03-22;08:11:29;2;1499.0
1;2;2015-03-22;08:11:29;1;1499.0
1;2;2015-03-22;08:11:29;2;1499.0
1;3;2015-03-22;08:11:29;1;1499.0
1;3;2015-03-22;08:11:29;2;1499.0
1;5;2015-03-22;08:11:29;1;1499.0
1;5;2015-03-22;08:11:29;2;1424.05
1;1;2015-03-23;08:11:29;1;1499.0
1;1;2015-03-23;08:11:29;2;1499.0
1;2;2015-03-23;08:11:29;1;1403.9
1;2;2015-03-23;08:11:29;2;1403.9
1;5;2015-03-23;08:11:29;1;1499.0
1;5;2015-03-23;08:11:29;2;1424.05
1;1;2015-03-24;08:11:29;1;1499.0
1;1;2015-03-24;08:11:29;2;1499.0
1;2;2015-03-24;08:11:29;1;1403.9
1;2;2015-03-24;08:11:29;2;1403.9
1;5;2015-03-24;08:11:29;1;1499.0
1;5;2015-03-24;08:11:29;2;1424.05
1;6;2015-03-24;08:11:29;1;1499.0
1;6;2015-03-24;08:11:29;2;1499.0
1;1;2015-03-25;08:11:29;1;1499.0
1;1;2015-03-25;08:11:29;2;1499.0
1;2;2015-03-25;08:11:29;1;1471.9
1;2;2015-03-25;08:11:29;2;1471.9
1;3;2015-03-25;08:11:29;1;1499.0
1;3;2015-03-25;08:11:29;2;1499.0
1;5;2015-03-25;08:11:29;1;1499.0
1;5;2015-03-25;08:11:29;2;1424.05
1;6;2015-03-25;08:11:29;1;1499.0
1;6;2015-03-25;08:11:29;2;1499.0
1;5;2015-03-26;08:11:29;1;1499.0
1;5;2015-03-26;08:11:29;2;1424.05
1;1;2015-03-27;08:11:29;1;1499.0
1;1;2015-03-27;08:11:29;2;1499.0
1;5;2015-03-27;08:11:29;1;1499.0
1;5;2015-03-27;08:11:29;2;1424.05
1;6;2015-03-27;08:11:29;1;1499.0
1;6;2015-03-27;08:11:29;2;1499.0
1;5;2015-03-28;08:11:29;1;1499.0
1;5;2015-03-28;08:11:29;2;1424.05
1;5;2015-03-29;08:11:29;1;1499.0
1;5;2015-03-29;08:11:29;2;1424.05
1;5;2015-03-30;08:11:29;1;1499.0
1;5;2015-03-30;08:11:29;2;1424.05
1;5;2015-03-31;08:11:29;1;1499.0
1;5;2015-03-31;08:11:29;2;1424.05
1;5;2015-04-01;08:11:29;1;1499.0
1;5;2015-04-01;08:11:29;2;1424.05
1;1;2015-04-02;08:11:29;1;1499.0
1;1;2015-04-02;08:11:29;2;1499.0
1;3;2015-04-02;08:11:29;1;1499.0
1;3;2015-04-02;08:11:29;2;1499.0
1;5;2015-04-02;08:11:29;1;1499.0
1;5;2015-04-02;08:11:29;2;1424.05
1;1;2015-04-03;08:11:29;1;1499.0
1;1;2015-04-03;08:11:29;2;1499.0
1;2;2015-04-03;08:11:29;1;1499.0
1;2;2015-04-03;08:11:29;2;1499.0
1;3;2015-04-03;08:11:29;1;1499.0
1;3;2015-04-03;08:11:29;2;1499.0
1;5;2015-04-03;08:11:29;1;1499.0
1;5;2015-04-03;08:11:29;2;1424.05
1;1;2015-04-04;08:11:29;1;1499.0
1;1;2015-04-04;08:11:29;2;1499.0
1;2;2015-04-04;08:11:29;1;1499.0
1;2;2015-04-04;08:11:29;2;1499.0
1;3;2015-04-04;08:11:29;1;1499.0
1;3;2015-04-04;08:11:29;2;1499.0
1;5;2015-04-04;08:11:29;1;1499.0
1;5;2015-04-04;08:11:29;2;1424.05
1;1;2015-04-05;08:11:29;1;1499.0
1;1;2015-04-05;08:11:29;2;1499.0
1;2;2015-04-05;08:11:29;1;1499.0
1;2;2015-04-05;08:11:29;2;1499.0
1;3;2015-04-05;08:11:29;1;1499.0
1;3;2015-04-05;08:11:29;2;1499.0
1;5;2015-04-05;08:11:29;1;1499.0
1;5;2015-04-05;08:11:29;2;1424.05
1;1;2015-04-06;08:11:29;1;1499.0
1;1;2015-04-06;08:11:29;2;1499.0
