PROD_ID;DATE;SALES_COUNT;MEDIAN_PRICE;C1_DIFF_1;C1_DIFF_2;C2_DIFF_1;C2_DIFF_2;C3_DIFF_1;C3_DIFF_2;C4_DIFF_1;C4_DIFF_2;C5_DIFF_1;C5_DIFF_2;C6_DIFF_1;C6_DIFF_2
P1;2015-02-04;10;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-05;12;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-06;21;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-07;4;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-08;7;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-09;5;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-10;10;1349.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-11;11;1399.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-12;16;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-13;7;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-14;10;1424.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-15;2;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-16;7;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-17;4;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-18;15;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-19;14;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-20;8;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-21;9;1367.09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-22;8;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-23;13;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-24;6;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-25;5;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-26;81;1362.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-27;14;1362.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-02-28;8;1367.09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-01;14;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-02;22;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-03;38;1362.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-04;60;1362.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-05;21;1362.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-06;9;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-07;9;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-08;12;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-09;34;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-10;31;1362.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-11;53;1362.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-12;54;1362.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-13;58;1362.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-14;41;1362.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
P1;2015-03-15;48;1362.5;NA;NA;NA;NA;NA;NA;NA;NA;-136.5;-136.5;-136.5;-136.5
P1;2015-03-16;24;1362.5;NA;NA;0.0;0.0;NA;NA;NA;NA;-136.5;-99.03;-136.5;-136.5
P1;2015-03-17;28;1362.5;0.0;0.0;0.0;0.0;0.0;0.0;NA;NA;-136.5;-61.55;-136.5;-136.5
P1;2015-03-18;67;1362.5;0.0;0.0;NA;NA;0.0;0.0;NA;NA;-136.5;-61.55;-136.5;-136.5
P1;2015-03-19;46;1362.5;NA;NA;NA;NA;NA;NA;NA;NA;-136.5;-1.59;3.5;3.5
P1;2015-03-20;19;1362.5;-136.5;-136.5;-136.5;-136.5;-136.5;-136.5;NA;NA;-136.5;-1.59;3.5;3.5
P1;2015-03-21;12;1362.5;-136.5;-136.5;NA;NA;-136.5;-136.5;NA;NA;-136.5;-61.55;3.5;3.5
P1;2015-03-22;7;1362.5;-136.5;-136.5;-136.5;-136.5;-136.5;-136.5;NA;NA;-136.5;-61.55;NA;NA
P1;2015-03-23;6;1362.5;-136.5;-136.5;-41.4;-41.4;NA;NA;NA;NA;-136.5;-61.55;NA;NA
P1;2015-03-24;13;1499.0;0.0;0.0;95.1;95.1;NA;NA;NA;NA;0.0;74.95;0.0;0.0
P1;2015-03-25;7;1499.0;0.0;0.0;27.1;27.1;0.0;0.0;NA;NA;0.0;74.95;0.0;0.0
P1;2015-03-26;6;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;0.0;74.95;NA;NA
P1;2015-03-27;7;1499.0;0.0;0.0;NA;NA;NA;NA;NA;NA;0.0;74.95;0.0;0.0
P1;2015-03-28;15;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;0.0;74.95;NA;NA
P1;2015-03-29;7;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;0.0;74.95;NA;NA
P1;2015-03-30;12;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;0.0;74.95;NA;NA
P1;2015-03-31;11;1499.0;NA;NA;NA;NA;NA;NA;NA;NA;0.0;74.95;NA;NA
P1;2015-04-01;16;1429.0;NA;NA;NA;NA;NA;NA;NA;NA;-70.0;4.95;NA;NA
P1;2015-04-02;9;1399.0;-100.0;-100.0;NA;NA;-100.0;-100.0;NA;NA;-100.0;-25.05;NA;NA
P1;2015-04-03;6;1499.0;0.0;0.0;0.0;0.0;0.0;0.0;NA;NA;0.0;74.95;NA;NA
P1;2015-04-04;8;1499.0;0.0;0.0;0.0;0.0;0.0;0.0;NA;NA;0.0;74.95;NA;NA
P1;2015-04-05;5;1499.0;0.0;0.0;0.0;0.0;0.0;0.0;NA;NA;0.0;74.95;NA;NA
P1;2015-04-06;4;1499.0;0.0;0.0;0.0;0.0;0.0;0.0;NA;NA;0.0;74.95;NA;NA
P1;2015-04-07;13;1499.0;0.0;0.0;0.0;0.0;0.0;0.0;NA;NA;0.0;74.95;NA;NA
P1;2015-04-08;16;1429.0;-70.0;-70.0;-70.0;-70.0;-70.0;-70.0;NA;NA;-70.0;4.95;NA;NA
P1;2015-04-09;16;1399.0;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0;NA;NA;-100.0;-25.05;NA;NA
P1;2015-04-10;12;1499.0;0.0;0.0;0.0;0.0;0.0;0.0;NA;NA;0.0;74.95;0.0;0.0
P1;2015-04-11;20;1399.0;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0;NA;NA;-100.0;-25.05;-100.0;-100.0
P1;2015-04-12;32;1399.0;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0;NA;NA;-100.0;-25.05;-100.0;-100.0
P1;2015-04-13;27;1399.0;-100.0;-100.0;-100.0;-100.0;-100.0;-100.0;NA;NA;-100.0;-25.05;-100.0;-100.0
P1;2015-04-14;5;1499.0;0.0;74.95;0.0;0.0;50.0;50.0;NA;NA;0.0;74.95;150.0;150.0
P1;2015-04-15;8;1399.0;25.0;162.4;25.0;162.4;25.0;25.0;NA;NA;-100.0;-25.05;50.0;50.0
P1;2015-04-16;15;1499.0;150.0;284.9;150.0;284.9;150.0;150.0;NA;NA;0.0;202.37;150.0;150.0
P1;2015-04-17;6;1399.0;50.0;184.9;50.0;184.9;50.0;50.0;NA;NA;-100.0;79.88;50.0;50.0
P1;2015-04-18;2;1399.0;50.0;184.9;50.0;184.9;50.0;50.0;NA;NA;-100.0;79.88;NA;NA
P1;2015-04-19;14;1399.0;50.0;184.9;50.0;184.9;50.0;184.9;NA;NA;-100.0;79.88;NA;NA
P1;2015-04-20;12;1399.0;-225.0;-157.55;50.0;184.9;50.0;117.45;NA;NA;NA;NA;NA;NA
P1;2015-04-21;15;1399.0;-225.0;-157.55;-500.0;-500.0;NA;NA;NA;NA;-100.0;79.88;-100.0;-100.0
P1;2015-04-22;11;1399.0;-500.0;-500.0;-500.0;-500.0;50.0;50.0;NA;NA;-100.0;79.88;-100.0;-100.0
P1;2015-04-23;16;1399.0;-225.0;-157.55;50.0;184.9;NA;NA;NA;NA;-100.0;79.88;-100.0;-100.0
P1;2015-04-24;9;1399.0;-500.0;-500.0;-500.0;-500.0;NA;NA;NA;NA;-100.0;79.88;NA;NA
P1;2015-04-25;11;1399.0;-225.0;-157.55;-500.0;-500.0;50.0;50.0;NA;NA;-100.0;79.88;NA;NA
P1;2015-04-26;13;1399.0;117.45;184.9;-225.0;-157.55;117.45;117.45;NA;NA;-100.0;79.88;50.0;50.0
P1;2015-04-27;12;1399.0;-225.0;-157.55;-500.0;-500.0;50.0;50.0;NA;NA;NA;NA;NA;NA
