prod_id;date;price;count
P1;2015-02-04;1499.0;10
P1;2015-02-05;1349.1;2
P1;2015-02-05;1499.0;10
P1;2015-02-06;1349.1;1
P1;2015-02-06;1424.05;1
P1;2015-02-06;1499.0;19
P1;2015-02-07;1499.0;4
P1;2015-02-08;1499.0;7
P1;2015-02-09;1424.05;1
P1;2015-02-09;1499.0;4
P1;2015-02-10;1349.1;7
P1;2015-02-10;1499.0;3
P1;2015-02-11;1259.1;2
P1;2015-02-11;1349.1;1
P1;2015-02-11;1399.0;2
P1;2015-02-11;1499.0;6
P1;2015-02-12;1259.1;3
P1;2015-02-12;1349.1;1
P1;2015-02-12;1399.0;2
P1;2015-02-12;1499.0;10
P1;2015-02-13;1399.0;1
P1;2015-02-13;1424.05;1
P1;2015-02-13;1499.0;5
P1;2015-02-14;1259.1;1
P1;2015-02-14;1399.0;3
P1;2015-02-14;1424.05;1
P1;2015-02-14;1499.0;5
P1;2015-02-15;1499.0;2
P1;2015-02-16;1499.0;7
P1;2015-02-17;1499.0;4
P1;2015-02-18;1349.1;1
P1;2015-02-18;1399.0;3
P1;2015-02-18;1499.0;11
P1;2015-02-19;1499.0;14
P1;2015-02-20;1399.0;2
P1;2015-02-20;1499.0;6
P1;2015-02-21;1349.1;2
P1;2015-02-21;1367.09;2
P1;2015-02-21;1399.0;2
P1;2015-02-21;1499.0;3
P1;2015-02-22;1499.0;8
P1;2015-02-23;1214.19;1
P1;2015-02-23;1349.1;1
P1;2015-02-23;1367.09;1
P1;2015-02-23;1399.0;2
P1;2015-02-23;1499.0;8
P1;2015-02-24;1298.73;1
P1;2015-02-24;1367.09;1
P1;2015-02-24;1499.0;4
P1;2015-02-25;1399.0;1
P1;2015-02-25;1499.0;4
P1;2015-02-26;1180.48;1
P1;2015-02-26;1226.25;4
P1;2015-02-26;1242.6;9
P1;2015-02-26;1294.38;20
P1;2015-02-26;1362.5;46
P1;2015-02-26;1499.0;1
P1;2015-02-27;1180.48;1
P1;2015-02-27;1226.25;2
P1;2015-02-27;1242.6;3
P1;2015-02-27;1362.5;3
P1;2015-02-27;1367.09;1
P1;2015-02-27;1499.0;4
P1;2015-02-28;1349.1;1
P1;2015-02-28;1362.5;2
P1;2015-02-28;1367.09;1
P1;2015-02-28;1499.0;4
P1;2015-03-01;1214.19;1
P1;2015-03-01;1230.38;1
P1;2015-03-01;1242.6;1
P1;2015-03-01;1349.1;3
P1;2015-03-01;1499.0;8
P1;2015-03-02;1299.0;1
P1;2015-03-02;1349.1;3
P1;2015-03-02;1362.5;4
P1;2015-03-02;1367.09;1
P1;2015-03-02;1499.0;13
P1;2015-03-03;1226.25;2
P1;2015-03-03;1312.5;1
P1;2015-03-03;1362.5;32
